CustomerID,Age,Gender,Income,SpendingScore,PurchaseFrequency
1001,22,Female,25000,81,15
1002,35,Male,60000,45,6
1003,28,Female,42000,75,12
1004,45,Male,85000,30,4
1005,31,Female,52000,68,10
1006,55,Male,120000,22,2
1007,24,Female,28000,88,18
1008,40,Male,70000,40,5
1009,29,Female,48000,72,11
1010,50,Male,95000,28,3
1011,26,Female,35000,83,14
1012,37,Male,65000,42,6
1013,30,Female,55000,70,9
1014,48,Male,90000,25,3
1015,23,Female,27000,90,17
1016,41,Male,75000,38,5
1017,33,Female,58000,66,8
1018,52,Male,110000,20,2
1019,27,Female,39000,79,13
1020,46,Male,88000,27,4
1021,25,Female,32000,85,16
1022,39,Male,68000,44,6
1023,34,Female,60000,63,8
1024,53,Male,115000,18,2
1025,21,Female,24000,92,19
1026,43,Male,80000,35,4
1027,32,Female,57000,67,9
1028,49,Male,98000,24,3
1029,26,Female,36000,82,14
1030,38,Male,72000,41,5
1031,29,Female,50000,71,10
1032,54,Male,118000,21,2
1033,24,Female,29000,87,17
1034,42,Male,77000,36,4
1035,31,Female,54000,69,9
1036,47,Male,92000,26,3
1037,23,Female,26000,89,18
1038,40,Male,73000,39,5
1039,28,Female,45000,74,11
1040,51,Male,105000,23,2
1041,27,Female,41000,78,12
1042,44,Male,83000,33,4
1043,30,Female,53000,65,8
1044,56,Male,125000,17,1
1045,22,Female,23000,94,20
1046,36,Male,62000,46,6
1047,34,Female,59000,64,8
1048,50,Male,97000,29,3
1049,25,Female,34000,84,15
1050,41,Male,76000,37,5
